Scarab gitrev: 9090aea
starlab_do_write is: 1
Scarab started at Fri Dec 27 15:25:43 2024

Initialized Ramulator. 
XED decode error for 0xffffffff848137a9: GENERAL_ERROR 5, replacing with nop
Invalid register operand MSRS at: ffffffff8486e1b8
Invalid register operand MSRS at: ffffffff8486e1b8
XED decode error for 0xffffffff851bd7ce: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd7d4: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd7dd: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd7e7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd7f0: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd7f9: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd802: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd80b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd814: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd819: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd822: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd82b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd834: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd83d: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd846: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd84f: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd858: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd861: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd86a: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd86f: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd878: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd881: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd88a: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd88f: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd895: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd89e: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd8a7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd8ad: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd8b2: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd8b7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd8c0: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd8c5: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd8cb: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd8d4: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd8da: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd8e3: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd8ec: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd8f5: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd8fe: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd903: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd90c: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd912: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd91b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd921: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd927: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd92d: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd933: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd93c: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd942: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd94b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd951: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd95a: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd960: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd966: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd96c: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd972: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd977: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd97e: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd984: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd98d: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd992: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd99b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd9a2: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd9a7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd9ad: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd9b4: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd9bb: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd9c1: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd9c7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd9cd: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd9d2: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd9d8: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd9de: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd9e4: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd9eb: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd9f1: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bd9fa: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda00: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda06: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda0c: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda12: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda18: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda1e: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda24: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda2a: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda30: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda37: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda40: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda49: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda52: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda57: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda60: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda66: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda6f: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda78: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda81: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda8a: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda93: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bda9c: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdaa5: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdaae: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdab7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdac0: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdac9: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdad2: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdadb: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdae4: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdaed: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdaf7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb01: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb0b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb14: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb1d: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb27: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb31: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb36: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb3b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb40: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb49: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb4f: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb55: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb5e: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb68: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb72: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb78: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb81: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb8a: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb94: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdb9e: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdba5: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdbae: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdbb7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdbbd: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdbc3: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdbc9: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdbcf: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdbd6: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdbdd: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdbe2: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdbe7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdbed: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdbf2: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdbf8: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdbfe: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc03: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc08: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc0d: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc13: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc19: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc1f: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc25: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc2e: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc37: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc41: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc4b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc54: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc5d: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc63: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc6c: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc72: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc7b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc84: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc8b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc91: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdc9a: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdca4: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffff851bdcae: BUFFER_TOO_SHORT 2, replacing with nop
